Data,Ultimo,Apertura,Massimo,Minimo,Var. %
12.08.2026,"98,900","98,900","98,900","98,900","-0,01%"
11.08.2026,"98,910","98,910","98,910","98,910","+0,10%"
10.08.2026,"98,810","98,810","98,810","98,810","-0,19%"
07.08.2026,"99,000","98,850","99,020","98,750","0,15%"
06.08.2026,"98,850","99,010","99,020","98,850","-0,22%"
05.08.2026,"99,070","99,200","99,230","98,910","0,15%"
04.08.2026,"98,920","98,700","99,050","98,620","0,22%"
03.08.2026,"98,700","98,410","98,760","98,350","0,46%"
31.07.2026,"98,250","98,400","98,560","98,200","-0,20%"
30.07.2026,"98,450","98,270","98,490","98,180","0,02%"
29.07.2026,"98,430","98,680","98,680","98,350","-0,21%"
28.07.2026,"98,640","98,640","98,750","98,500","0,04%"
27.07.2026,"98,600","98,680","98,730","98,510","0,31%"
24.07.2026,"98,300","98,220","98,380","98,190","0,30%"
23.07.2026,"98,010","98,150","98,300","98,010","-0,36%"
22.07.2026,"98,360","98,350","98,460","98,200","-0,24%"
21.07.2026,"98,600","98,470","98,640","98,310","0,13%"
20.07.2026,"98,470","98,410","98,660","98,350","0,03%"
17.07.2026,"98,440","98,500","98,630","98,340","-0,13%"
16.07.2026,"98,570","98,650","98,660","98,410","-0,42%"
15.07.2026,"98,990","98,720","98,990","98,600","0,18%"
14.07.2026,"98,810","98,510","98,840","98,420","-0,06%"
13.07.2026,"98,870","98,760","98,950","98,710","-0,01%"
10.07.2026,"98,880","98,990","99,070","98,880","-0,05%"
09.07.2026,"98,930","98,730","99,000","98,570","0,40%"
08.07.2026,"98,540","98,930","99,000","98,490","-0,64%"
07.07.2026,"99,170","99,300","99,300","99,070","-0,20%"
06.07.2026,"99,370","99,420","99,520","99,370","-0,06%"
03.07.2026,"99,430","99,380","99,500","99,350","-0,01%"
02.07.2026,"99,440","99,470","99,520","99,300","0,02%"
01.07.2026,"99,420","99,400","99,530","99,310","-0,14%"
30.06.2026,"99,560","99,490","99,690","99,420","0,07%"
29.06.2026,"99,490","99,480","99,500","99,330","0,06%"
26.06.2026,"99,430","99,400","99,570","99,380","0,10%"
25.06.2026,"99,330","99,340","99,520","99,300","-0,02%"
24.06.2026,"99,350","99,060","99,440","99,060","0,13%"
23.06.2026,"99,220","99,300","99,300","99,090","0,19%"
22.06.2026,"99,030","99,080","99,260","99,020","-0,01%"
19.06.2026,"99,040","98,950","99,140","98,910","-0,26%"
18.06.2026,"99,300","99,440","99,440","98,950","-0,07%"
17.06.2026,"99,370","99,150","99,450","99,130","0,21%"
16.06.2026,"99,160","99,100","99,300","99,070","0,07%"
15.06.2026,"99,090","99,120","99,270","98,870","0,18%"
12.06.2026,"98,910","98,900","99,140","98,790","0,25%"
11.06.2026,"98,660","98,370","98,740","98,370","0,20%"
10.06.2026,"98,460","98,700","98,720","98,380","-0,18%"
09.06.2026,"98,640","98,690","98,790","98,540","-0,05%"
08.06.2026,"98,690","98,740","98,810","98,530","-0,13%"
05.06.2026,"98,820","98,900","99,060","98,800","-0,09%"
04.06.2026,"98,910","98,960","99,120","98,900","-0,01%"
03.06.2026,"98,920","99,180","99,220","98,920","-0,36%"
02.06.2026,"99,280","99,450","99,550","99,270","0,03%"
01.06.2026,"99,250","99,300","99,370","99,000","-0,28%"
29.05.2026,"99,530","99,550","99,670","99,210","0,14%"
28.05.2026,"99,390","99,250","99,500","99,080","0,04%"
27.05.2026,"99,350","99,380","99,560","99,350","0,04%"
26.05.2026,"99,310","99,670","99,670","99,310","-0,31%"
25.05.2026,"99,620","99,580","99,800","99,520","0,34%"
22.05.2026,"99,280","99,110","99,410","99,110","0,03%"
21.05.2026,"99,250","99,090","99,310","98,850","0,25%"
20.05.2026,"99,000","98,870","99,270","98,520","0,51%"
19.05.2026,"98,500","98,720","98,900","98,390","-0,08%"
18.05.2026,"98,580","98,610","98,980","98,300","0,02%"
15.05.2026,"98,560","98,740","98,910","98,530","-0,44%"
14.05.2026,"99,000","99,260","99,260","98,800","0,28%"
13.05.2026,"98,720","98,860","98,870","98,660","-0,02%"
12.05.2026,"98,740","99,010","99,010","98,700","-0,27%"
11.05.2026,"99,010","99,300","99,380","98,970","-0,29%"
08.05.2026,"99,300","99,390","99,560","99,270","-0,22%"
07.05.2026,"99,520","99,760","99,840","99,500","-0,33%"
06.05.2026,"99,850","99,200","99,850","99,200","0,79%"
05.05.2026,"99,070","99,140","99,190","99,010","0,11%"
04.05.2026,"98,960","99,880","99,890","98,890","-0,24%"
30.04.2026,"99,200","98,830","99,300","98,660","0,33%"
29.04.2026,"98,870","99,180","99,180","98,730","-0,14%"
28.04.2026,"99,010","99,300","99,300","98,880","-0,29%"
27.04.2026,"99,300","99,420","99,510","99,300","-0,12%"
24.04.2026,"99,420","99,050","99,520","99,050","0,00%"
23.04.2026,"99,420","99,270","99,660","99,200","-0,13%"
22.04.2026,"99,550","99,740","99,800","99,400","-0,04%"
21.04.2026,"99,590","99,650","99,800","99,500","-0,01%"
20.04.2026,"99,600","99,880","99,880","99,520","-0,32%"
17.04.2026,"99,920","99,570","100,000","99,490","0,35%"
16.04.2026,"99,570","99,780","99,800","99,570","-0,04%"
15.04.2026,"99,610","99,690","99,750","99,590","-0,04%"
14.04.2026,"99,650","99,580","99,680","99,430","0,39%"
13.04.2026,"99,260","99,370","99,370","99,100","-0,11%"
10.04.2026,"99,370","99,530","99,840","99,370","-0,01%"
09.04.2026,"99,380","99,560","99,630","99,220","-0,07%"
08.04.2026,"99,450","99,800","99,980","99,400","0,63%"
07.04.2026,"98,830","99,540","99,590","98,800","-0,27%"
02.04.2026,"99,100","99,050","99,240","98,670","-0,21%"
01.04.2026,"99,310","99,690","99,710","99,200","0,21%"
31.03.2026,"99,100","98,950","99,280","98,680","0,33%"
30.03.2026,"98,770","98,840","98,840","98,660","0,11%"
27.03.2026,"98,660","99,100","99,220","98,600","-0,56%"
26.03.2026,"99,220","99,370","99,500","99,110","-0,36%"
25.03.2026,"99,580","99,610","99,880","99,500","0,11%"
24.03.2026,"99,470","99,330","99,470","99,100","0,63%"
23.03.2026,"98,850","98,830","99,800","98,000","-0,08%"
20.03.2026,"98,930","99,990","100,010","98,750","-0,87%"
19.03.2026,"99,800","99,900","99,960","99,430","-0,08%"
18.03.2026,"99,880","100,040","100,040","99,840","-0,07%"
17.03.2026,"99,950","99,940","100,000","99,890","0,02%"
