Date,Close
25/08/2026,991.45
21/08/2026,991.14
20/08/2026,989.24
19/08/2026,989.32
17/08/2026,998.0
14/08/2026,993.43
12/08/2026,995.78
11/08/2026,995.74
10/08/2026,995.82
07/08/2026,996.49
06/08/2026,995.31
05/08/2026,995.09
04/08/2026,996.26
03/08/2026,993.3
31/07/2026,991.46
30/07/2026,988.28
29/07/2026,988.72
28/07/2026,994.36
27/07/2026,989.8
24/07/2026,991.95
23/07/2026,986.48
22/07/2026,989.54
21/07/2026,992.64
20/07/2026,988.7
17/07/2026,990.83
16/07/2026,990.68
15/07/2026,992.18
14/07/2026,992.97
13/07/2026,998.25
10/07/2026,992.8
09/07/2026,992.2
08/07/2026,989.11
07/07/2026,994.73
06/07/2026,995.94
03/07/2026,997.59
02/07/2026,996.31
01/07/2026,995.25
30/06/2026,995.38
29/06/2026,993.44
26/06/2026,996.36
25/06/2026,996.13
24/06/2026,996.75
23/06/2026,996.59
22/06/2026,994.11
19/06/2026,991.86
18/06/2026,993.78
17/06/2026,993.94
16/06/2026,1004.22
15/06/2026,994.52
12/06/2026,997.78
11/06/2026,987.46
10/06/2026,985.5
09/06/2026,989.44
08/06/2026,985.15
05/06/2026,986.89
04/06/2026,986.3
03/06/2026,986.44
02/06/2026,989.49
01/06/2026,987.99
29/05/2026,988.34
28/05/2026,986.68
27/05/2026,987.83
26/05/2026,991.4
25/05/2026,988.59
22/05/2026,982.89
21/05/2026,979.2
20/05/2026,978.77
19/05/2026,973.29
18/05/2026,976.1
15/05/2026,975.02
14/05/2026,979.42
13/05/2026,976.17
12/05/2026,976.64
11/05/2026,979.67
08/05/2026,981.43
07/05/2026,982.26
06/05/2026,985.99
05/05/2026,975.21
04/05/2026,970.02
30/04/2026,976.12
29/04/2026,970.98
28/04/2026,972.95
27/04/2026,978.3
24/04/2026,976.92
23/04/2026,978.34
22/04/2026,975.2
21/04/2026,975.03
20/04/2026,979.31
17/04/2026,985.96
16/04/2026,974.73
15/04/2026,978.77
14/04/2026,973.76
13/04/2026,966.92
10/04/2026,975.09
09/04/2026,973.76
08/04/2026,972.74
07/04/2026,958.14
02/04/2026,962.81
01/04/2026,963.03
31/03/2026,950.02
30/03/2026,945.71
27/03/2026,943.99
26/03/2026,946.98
25/03/2026,953.5
24/03/2026,948.39
23/03/2026,951.97
20/03/2026,949.65
19/03/2026,952.36
18/03/2026,960.61
17/03/2026,965.37
16/03/2026,955.79
13/03/2026,955.25
12/03/2026,958.23
11/03/2026,960.43
10/03/2026,969.87
09/03/2026,957.38
06/03/2026,964.35
05/03/2026,971.4
04/03/2026,975.63
03/03/2026,963.24
02/03/2026,975.51
27/02/2026,983.24
26/02/2026,983.36
25/02/2026,983.59
24/02/2026,982.92
23/02/2026,980.48
20/02/2026,978.23
19/02/2026,978.29
18/02/2026,978.0
17/02/2026,974.99
16/02/2026,976.25
13/02/2026,974.67
12/02/2026,977.58
11/02/2026,978.08
10/02/2026,984.76
09/02/2026,977.81
06/02/2026,972.83
05/02/2026,973.18
04/02/2026,976.79
03/02/2026,974.74
02/02/2026,973.46
30/01/2026,972.05
29/01/2026,973.64
28/01/2026,968.83
27/01/2026,969.61
26/01/2026,966.25
23/01/2026,965.23
22/01/2026,966.74
21/01/2026,968.1
20/01/2026,963.26
19/01/2026,965.95
16/01/2026,967.96
15/01/2026,968.81
14/01/2026,968.41
13/01/2026,969.47
12/01/2026,969.54
09/01/2026,970.18
08/01/2026,967.35
07/01/2026,966.55
06/01/2026,968.74
05/01/2026,967.88
02/01/2026,965.97
31/12/2025,962.32
30/12/2025,962.32
29/12/2025,962.46
24/12/2025,964.8
23/12/2025,964.8
22/12/2025,964.73
19/12/2025,960.49
18/12/2025,958.81
17/12/2025,957.97
16/12/2025,956.96
15/12/2025,956.98
12/12/2025,956.04
11/12/2025,955.09
10/12/2025,952.48
09/12/2025,955.0
08/12/2025,957.76
05/12/2025,959.26
04/12/2025,959.53
03/12/2025,961.29
02/12/2025,959.52
01/12/2025,952.17
28/11/2025,953.82
27/11/2025,954.84
26/11/2025,953.8
25/11/2025,951.34
24/11/2025,948.7
21/11/2025,947.61
20/11/2025,950.0
19/11/2025,947.64
18/11/2025,947.56
17/11/2025,953.28
14/11/2025,954.3
13/11/2025,960.19
12/11/2025,961.94
11/11/2025,959.6
10/11/2025,955.95
07/11/2025,950.0
06/11/2025,951.56
05/11/2025,952.73
04/11/2025,951.17
03/11/2025,952.34
31/10/2025,952.8
30/10/2025,953.17
29/10/2025,954.67
28/10/2025,953.42
27/10/2025,952.18
24/10/2025,948.48
23/10/2025,948.87
22/10/2025,949.04
21/10/2025,950.89
20/10/2025,948.55
17/10/2025,944.82
16/10/2025,948.72
15/10/2025,947.45
14/10/2025,943.06
13/10/2025,944.49
10/10/2025,943.7
09/10/2025,947.74
08/10/2025,952.1
07/10/2025,948.81
