Date,Close
17/08/2026,999.87
14/08/2026,999.12
13/08/2026,1003.65
12/08/2026,981.32
11/08/2026,970.07
10/08/2026,969.97
07/08/2026,975.35
06/08/2026,974.77
05/08/2026,975.29
04/08/2026,966.19
03/08/2026,961.62
31/07/2026,953.42
30/07/2026,946.65
29/07/2026,944.7
28/07/2026,951.18
27/07/2026,952.92
24/07/2026,964.73
23/07/2026,960.62
22/07/2026,964.51
21/07/2026,959.16
20/07/2026,959.38
17/07/2026,956.02
16/07/2026,960.83
15/07/2026,963.18
14/07/2026,963.07
13/07/2026,962.79
10/07/2026,964.43
09/07/2026,957.43
08/07/2026,950.01
07/07/2026,942.74
