Date,Close
18/08/2026,954.1
17/08/2026,961.5
14/08/2026,961.61
13/08/2026,965.11
12/08/2026,964.12
11/08/2026,964.77
10/08/2026,963.86
07/08/2026,963.98
06/08/2026,961.45
05/08/2026,960.54
04/08/2026,958.41
03/08/2026,950.03
31/07/2026,942.97
30/07/2026,942.3
29/07/2026,937.09
28/07/2026,941.92
27/07/2026,941.88
24/07/2026,939.15
23/07/2026,932.68
22/07/2026,941.16
21/07/2026,937.81
20/07/2026,933.74
17/07/2026,934.77
16/07/2026,938.27
15/07/2026,940.04
14/07/2026,942.77
13/07/2026,942.04
10/07/2026,943.57
09/07/2026,942.46
08/07/2026,932.52
07/07/2026,946.75
