Date,Close
20/08/2026,995.0
19/08/2026,998.99
18/08/2026,995.52
17/08/2026,996.82
14/08/2026,1000.04
13/08/2026,1000.17
12/08/2026,1004.05
11/08/2026,998.68
10/08/2026,998.01
07/08/2026,998.26
06/08/2026,997.74
05/08/2026,997.75
04/08/2026,996.79
03/08/2026,991.27
31/07/2026,984.28
30/07/2026,985.32
29/07/2026,977.81
28/07/2026,986.21
27/07/2026,983.78
24/07/2026,974.56
23/07/2026,971.32
22/07/2026,980.41
21/07/2026,977.56
20/07/2026,977.0
17/07/2026,972.18
16/07/2026,973.29
15/07/2026,974.23
14/07/2026,977.33
13/07/2026,981.75
10/07/2026,980.61
09/07/2026,979.09
08/07/2026,983.65
07/07/2026,986.5
06/07/2026,996.51
03/07/2026,994.87
02/07/2026,994.51
01/07/2026,985.77
30/06/2026,993.72
29/06/2026,986.49
26/06/2026,982.7
25/06/2026,983.05
24/06/2026,981.3
23/06/2026,982.0
22/06/2026,982.63
19/06/2026,981.48
18/06/2026,983.16
17/06/2026,979.45
16/06/2026,980.24
15/06/2026,981.99
12/06/2026,971.83
11/06/2026,970.22
10/06/2026,963.29
09/06/2026,965.3
08/06/2026,962.49
05/06/2026,966.01
04/06/2026,963.3
03/06/2026,960.63
02/06/2026,966.49
01/06/2026,961.17
29/05/2026,970.61
28/05/2026,972.38
27/05/2026,965.17
26/05/2026,969.29
25/05/2026,972.25
22/05/2026,960.44
21/05/2026,961.99
20/05/2026,956.96
19/05/2026,945.1
18/05/2026,945.55
15/05/2026,941.5
14/05/2026,949.03
13/05/2026,943.23
12/05/2026,946.79
11/05/2026,948.67
08/05/2026,953.96
07/05/2026,964.38
06/05/2026,967.03
05/05/2026,945.0
04/05/2026,947.49
30/04/2026,952.74
29/04/2026,942.77
28/04/2026,944.43
27/04/2026,949.29
24/04/2026,948.3
23/04/2026,950.63
22/04/2026,960.51
21/04/2026,964.1
20/04/2026,961.2
17/04/2026,970.91
16/04/2026,954.9
15/04/2026,957.02
14/04/2026,956.08
13/04/2026,952.5
10/04/2026,954.74
09/04/2026,954.93
08/04/2026,962.78
07/04/2026,938.7
02/04/2026,939.05
01/04/2026,944.95
31/03/2026,929.39
30/03/2026,923.0
27/03/2026,923.0
26/03/2026,933.21
25/03/2026,937.89
24/03/2026,937.78
23/03/2026,937.47
20/03/2026,933.1
19/03/2026,944.29
18/03/2026,951.44
17/03/2026,955.37
16/03/2026,953.17
13/03/2026,947.67
12/03/2026,950.49
11/03/2026,960.24
10/03/2026,965.91
09/03/2026,953.22
06/03/2026,952.5
05/03/2026,964.79
04/03/2026,966.81
03/03/2026,954.51
02/03/2026,969.87
27/02/2026,982.08
26/02/2026,984.17
25/02/2026,982.18
24/02/2026,980.48
23/02/2026,981.03
20/02/2026,980.23
19/02/2026,982.02
18/02/2026,978.84
17/02/2026,972.75
16/02/2026,972.13
13/02/2026,970.59
12/02/2026,971.6
11/02/2026,975.88
10/02/2026,975.99
09/02/2026,977.71
06/02/2026,966.56
05/02/2026,966.5
04/02/2026,973.76
03/02/2026,966.94
02/02/2026,968.0
30/01/2026,966.49
29/01/2026,968.74
28/01/2026,969.09
27/01/2026,971.5
26/01/2026,970.74
23/01/2026,970.76
22/01/2026,970.22
21/01/2026,968.59
20/01/2026,965.25
19/01/2026,973.15
16/01/2026,977.51
15/01/2026,977.41
14/01/2026,973.6
13/01/2026,972.8
12/01/2026,975.27
09/01/2026,969.42
08/01/2026,964.97
07/01/2026,968.57
06/01/2026,958.5
05/01/2026,957.68
02/01/2026,952.77
31/12/2025,951.66
30/12/2025,951.66
29/12/2025,948.68
24/12/2025,948.34
23/12/2025,948.34
22/12/2025,946.19
19/12/2025,948.51
18/12/2025,947.57
17/12/2025,944.74
16/12/2025,946.07
15/12/2025,944.92
12/12/2025,945.65
11/12/2025,948.37
10/12/2025,942.27
09/12/2025,945.71
08/12/2025,943.18
05/12/2025,949.29
04/12/2025,950.46
03/12/2025,947.0
02/12/2025,943.06
01/12/2025,933.11
28/11/2025,937.33
27/11/2025,939.56
26/11/2025,937.62
25/11/2025,932.98
24/11/2025,930.8
21/11/2025,930.4
20/11/2025,936.18
19/11/2025,933.4
18/11/2025,933.2
17/11/2025,939.26
14/11/2025,941.68
13/11/2025,947.72
12/11/2025,950.78
11/11/2025,947.34
10/11/2025,944.89
07/11/2025,937.53
06/11/2025,940.58
05/11/2025,943.25
04/11/2025,943.34
03/11/2025,945.35
31/10/2025,946.37
30/10/2025,947.51
29/10/2025,947.97
28/10/2025,947.55
27/10/2025,947.15
24/10/2025,944.97
23/10/2025,945.3
22/10/2025,945.06
21/10/2025,948.67
20/10/2025,944.92
17/10/2025,938.39
16/10/2025,944.51
15/10/2025,942.4
14/10/2025,933.18
13/10/2025,934.54
10/10/2025,933.55
09/10/2025,937.15
08/10/2025,939.95
07/10/2025,935.34
